,*ay,rad,f,*az,zone,*gy,*buf,*gx,y,number,range[5],*gz,a,x,in,interpolation[5],rate,zoom,len,reg,*ax,data,fsr,addr,ref,lpf
mx_sin,,*,,,,,,,,,,,,,,,,,,,,,,,,
To_180_degrees_db,,,,,,,,,,,,,,*,,,,,,,,,,,,
my_sin,,*,,,,,,,,,,,,,,,,,,,,,,,,
MPU_Get_Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,
my_deathzoom,,,,,,,,,,,,,,*,,,,*,,,,,,,*,
Q_rsqrt,,,,,,,,,,*,,,,,,,,,,,,,,,,
my_asin,,,,,,,,,,,,,,*,,,,,,,,,,,,
linear_interpolation_5,,,,,,,,,,,*,,,,*,*,,,,,,,,,,
my_sqrt,,,,,,,,,,*,,,,,,,,,,,,,,,,
my_deathzoom_2,,,,,,,,,,,,,,*,,,,*,,,,,,,*,
my_pow,,,,,,,,,,,,,*,,,,,,,,,,,,,
my_abs,,,*,,,,,,,,,,,,,,,,,,,,,,,
my_deadzone_n,,,,,*,,,,,,,,,*,,,,,,,,,,,,
my_cos,,*,,,,,,,,,,,,,,,,,,,,,,,,
fast_atan2,,,,,,,,,*,,,,,*,,,,,,,,,,,,
my_deadzone_p,,,,,*,,,,,,,,,*,,,,,,,,,,,,
To_180_degrees,,,,,,,,,,,,,,*,,,,,,,,,,,,
MPU_Write_Byte,,,,,,,,,,,,,,,,,,,,*,,*,,,,
MPU_Set_Rate,,,,,,,,,,,,,,,,,*,,,,,,,,,
MPU_Get_Gyroscope,,,,,,*,,*,,,,*,,,,,,,,,,,,,,
MPU_Set_Accel_Fsr,,,,,,,,,,,,,,,,,,,,,,,*,,,
MPU_Init,,,,,,,,,,,,,,,,,,,,,,,,,,
MPU_Write_Len,,,,,,,*,,,,,,,,,,,,*,*,,,,*,,
MPU_Read_Byte,,,,,,,,,,,,,,,,,,,,*,,,,,,
MPU_Read_Len,,,,,,,*,,,,,,,,,,,,*,*,,,,*,,
MPU_Get_Accelerometer,*,,,*,,,,,,,,,,,,,,,,,*,,,,,
MPU_Set_LPF,,,,,,,,,,,,,,,,,,,,,,,,,,*
MPU_Set_Gyro_Fsr,,,,,,,,,,,,,,,,,,,,,,,*,,,
